Size,"No. Immature/
Acre",% Immature,Avg lb./fruit
Giant,529,21,64.3
Giant,151,33,48
Extra large,454,22,44
Extra large,189,4,41.3
Large,303,11,35.7
Large,1134,28,32.3
Large,1210,34,28.6
Large,2004,41,26.9
Large,1286,30,26.1
Medium,1323,25,23.7
Medium,1134,30,23.7
Medium,2307,58,23.6
Medium,1097,31,21.4
Medium,870,19,19.9
Medium,529,15,19.7
Medium,908,25,17.9
Medium,1248,28,17.8
Medium,1097,35,17.6
Medium,454,15,15.2
Medium,1210,23,14.7
Small,416,16,9.9
Small,945,26,7.4
Small,870,19,7.2
Mini,0,0,1.1
Mini,0,0,1
Mini,0,0,0.6
